User,Comment,Source,clean_text
branzfensttm,Ntt lah myu Tapi gg lah ASEAN ALL STARS,tiktok_1,ntt lah myu tapi gg lah asean all stars
novalpratama7249,"MU butuh lawan yang sepadan,lawan psis contohnya",tiktok_1,mu butuh lawan yang sepadanlawan psis contohnya
mhmdzkidrio,ASEAN ALL-STARS aja klub baru bangkit bisa ngalahin mu,tiktok_1,asean allstars aja klub baru bangkit bisa ngalahin mu
4lip2010,mu skrng tidak segacor dulu lagi😭,tiktok_1,mu skrng tidak segacor dulu lagi
alifkhalifah0,bang dapat salam dari pemain myanmar,tiktok_1,bang dapat salam dari pemain myanmar
hammba6,Suruh jualan pecel lele aja bang🔥,tiktok_1,suruh jualan pecel lele aja bang
el.hakim48,mu cocoknya main di liga tarkam itu biar bisa menang,tiktok_1,mu cocoknya main di liga tarkam itu biar bisa menang
p.erkedel1,jauh² dari inggris cuman liat tim Asean angkat piala😅🤣,tiktok_1,jauh dari inggris cuman liat tim asean angkat piala
kkmud._,masih ada leg 2 santai aja,tiktok_1,masih ada leg santai aja
alpha30.1,suruh main antar RT/RW aja bg😂,tiktok_1,suruh main antar rtrw aja bg
kiyau.amat.hja,"""soundnya pas """"kalah menang itu hal wajar"""" tapi kalo kalah terus gak ada menang sekalipun itu baru gak wajar 😭😭😭🥲🥲""",tiktok_1,soundnya pas kalah menang itu hal wajar tapi kalo kalah terus gak ada menang sekalipun itu baru gak wajar
wirsttty,MU udah gak bisa di tolong lagi anj😭,tiktok_1,mu udah gak bisa di tolong lagi anj
nielsz18,mu ke liga 1 aja blm tentu menang wkwk,tiktok_1,mu ke liga aja blm tentu menang wkwk
fadjakzirah,"""Fans MU bilang : lapis kedua",,fans mu bilang lapis kedua
story_sad_936,cuma 1:0 bg jangan sedih😂😂,tiktok_1,cuma bg jangan sedih
herogak27,lebih jago Indonesia dari pada emyu,tiktok_1,lebih jago indonesia dari pada emyu
fajrikypo..77,yaa ahahahhahhahahhahhah. nyeri tapi te berdarah. aing mah isin sekals garnaco be geh di kantongan ku kakang hadehh isin mang isin,tiktok_1,yaa ahahahhahhahahhahhah nyeri tapi te berdarah aing mah isin sekals garnaco be geh di kantongan ku kakang hadehh isin mang isin
inorr25,Titik terendah,tiktok_1,titik terendah
summerblackwolfiee,"menang kalah adat pertandingan, mu kalah udah jdi tabiat",tiktok_1,menang kalah adat pertandingan mu kalah udah jdi tabiat
zaayidd,"asean all star bukan asia all star, asean lapis 2, baru 2 hari latihan 😮",tiktok_1,asean all star bukan asia all star asean lapis baru hari latihan
0w0uddhi,gw join jdi beban kek nya menang jga tuh ASEAN 😭,tiktok_1,gw join jdi beban kek nya menang jga tuh asean
fajarzaelani_,Tidak dihina pun sudah hina😭🙏,tiktok_1,tidak dihina pun sudah hina
azka.jencek,kakang bilang: ini manchester united ap Madura united🗿🤣🤣,tiktok_1,kakang bilang ini manchester united ap madura united
mangjannn,"itu asean lapis 2 padahal, asean tim utama nya lagi pada di bali😂",tiktok_1,itu asean lapis padahal asean tim utama nya lagi pada di bali
wrc.08,jauh jauh dari eropa ke Malaysia cuma liattt Asean Al star angkat piala 😹,tiktok_1,jauh jauh dari eropa ke malaysia cuma liattt asean al star angkat piala
amdsuka676,aku heran kenapa asean all star cuma menang 1-0 lawan emyu,tiktok_1,aku heran kenapa asean all star cuma menang lawan emyu
kittneedcofeee,"""kala menang itu wajar",,kala menang itu wajar
shennnnn99,khusus yg liga² kecil di persilakan tanding dengan MU karna MU makanan yg sangat enak karena dia adalah king pelawak😂😂,tiktok_1,khusus yg liga kecil di persilakan tanding dengan mu karna mu makanan yg sangat enak karena dia adalah king pelawak
esdoger9696,kira² MU vs PERSIB siapa yg menang?,tiktok_1,kira mu vs persib siapa yg menang
notifiikasi__,"""Respect buat emyu yg semangat ya",,respect buat emyu yg semangat ya
4abil5,tag Erik Tohir buat di ajak piala presiden,tiktok_1,tag erik tohir buat di ajak piala presiden
lynx_xsofts_poken,udah tau heaton tua malah dimainin 🤦‍♂️,tiktok_1,udah tau heaton tua malah dimainin
rodriguezgonzalez405,emyu lagi mau fokus piala tarkam 😹🤭,tiktok_1,emyu lagi mau fokus piala tarkam
_tntangmu,tadi senang kali bg😁,tiktok_1,tadi senang kali bg
